E1;E2;E3;C1;C2;C3
18.19774463;18.38979097;18.59891757;18.69293215;18.68169138;18.94574101
15.21412936;15.37249101;15.38464886;15.35183644;15.35998972;15.47081772
17.72979995;17.79731955;17.75347793;17.47369782;17.70612499;17.70804656
14.89524392;15.0610758;14.71649797;14.81848232;14.7588478;14.91298287
19.74986615;19.96269271;19.75164376;20.45325958;20.30655683;20.34482252
16.82598979;16.87091853;16.84925848;17.52387586;17.3575606;17.53759759
15.79766153;15.91821105;15.8328653;16.67740308;16.19458374;16.43056689
21.36518078;21.4864118;21.53099682;21.92937617;21.99360184;22.00969025
18.14864043;18.28605233;18.33745204;18.57755053;18.84809719;18.83130724
18.03144276;17.97952568;17.87111713;18.51429027;18.24672668;18.25494094
