,FC,labels,setting
116,0.770286,modT-2 trend,0.3
117,0.770286,modT-2 trend,0.3
118,0.770442556,modT-2 trend,0.3
119,0.769337,modT-2 trend,0.3
120,0.768751222,modT-2 trend,0.3
121,0.770337778,modT-2 trend,0.3
122,0.771039778,modT-2 trend,0.3
123,0.772150889,modT-2 trend,0.3
124,0.772150889,modT-2 trend,0.3
125,0.772326111,modT-2 trend,0.3
126,0.768164333,modT-2 trend,0.3
127,0.770962333,modT-2 trend,0.3
128,0.770351222,modT-2 trend,0.3
129,0.771367778,modT-2 trend,0.3
130,0.771367778,modT-2 trend,0.3
131,0.771367778,modT-2 trend,0.3
132,0.769285111,modT-2 trend,0.3
133,0.767480111,modT-2 trend,0.3
134,0.766793444,modT-2 trend,0.3
135,0.768714333,modT-2 trend,0.3
136,0.769938222,modT-2 trend,0.3
137,0.770559111,modT-2 trend,0.3
138,0.769992222,modT-2 trend,0.3
139,0.768738222,modT-2 trend,0.3
140,0.77087,modT-2 trend,0.3
141,0.769665667,modT-2 trend,0.3
142,0.771254556,modT-2 trend,0.3
143,0.771254556,modT-2 trend,0.3
144,0.770342,modT-2 trend,0.3
145,0.772401333,modT-2 trend,0.3
146,0.769473,modT-2 trend,0.3
147,0.771496889,modT-2 trend,0.3
148,0.771969111,modT-2 trend,0.3
149,0.770971889,modT-2 trend,0.3
150,1.009120778,modT-2 trend,0.4
151,1.013754111,modT-2 trend,0.4
152,1.019768111,modT-2 trend,0.4
153,1.022045333,modT-2 trend,0.4
154,1.023972222,modT-2 trend,0.4
155,1.024348778,modT-2 trend,0.4
156,1.024348778,modT-2 trend,0.4
157,1.024348778,modT-2 trend,0.4
158,1.024348778,modT-2 trend,0.4
159,1.027360222,modT-2 trend,0.4
160,1.027595778,modT-2 trend,0.4
161,1.024539444,modT-2 trend,0.4
162,1.024539444,modT-2 trend,0.4
163,1.028402667,modT-2 trend,0.4
164,1.027814778,modT-2 trend,0.4
165,1.026978,modT-2 trend,0.4
166,1.029134222,modT-2 trend,0.4
167,1.029134222,modT-2 trend,0.4
168,1.029458556,modT-2 trend,0.4
169,1.029636444,modT-2 trend,0.4
170,1.029430778,modT-2 trend,0.4
171,1.030679111,modT-2 trend,0.4
172,1.025724111,modT-2 trend,0.4
173,1.028244444,modT-2 trend,0.4
174,1.025789222,modT-2 trend,0.4
175,1.023296111,modT-2 trend,0.4
176,1.023076444,modT-2 trend,0.4
177,1.025046111,modT-2 trend,0.4
178,1.026240778,modT-2 trend,0.4
179,1.024877778,modT-2 trend,0.4
180,1.024645889,modT-2 trend,0.4
181,1.025509333,modT-2 trend,0.4
182,1.025509333,modT-2 trend,0.4
183,1.024899222,modT-2 trend,0.4
184,1.025411111,modT-2 trend,0.4
185,1.023168333,modT-2 trend,0.4
186,1.026953,modT-2 trend,0.4
187,1.025019889,modT-2 trend,0.4
188,1.024753333,modT-2 trend,0.4
189,1.024753333,modT-2 trend,0.4
190,1.030947444,modT-2 trend,0.4
191,1.030655889,modT-2 trend,0.4
192,1.034831111,modT-2 trend,0.4
193,1.033993667,modT-2 trend,0.4
194,1.033459667,modT-2 trend,0.4
195,1.033459667,modT-2 trend,0.4
196,1.031875667,modT-2 trend,0.4
197,1.031875667,modT-2 trend,0.4
198,1.029762111,modT-2 trend,0.4
199,1.029508111,modT-2 trend,0.4
200,1.263468,modT-2 trend,0.5
201,1.265247111,modT-2 trend,0.5
202,1.266790111,modT-2 trend,0.5
203,1.271880111,modT-2 trend,0.5
204,1.275349111,modT-2 trend,0.5
205,1.283422889,modT-2 trend,0.5
206,1.282943111,modT-2 trend,0.5
207,1.284576556,modT-2 trend,0.5
208,1.282909222,modT-2 trend,0.5
209,1.282909222,modT-2 trend,0.5
210,1.283212444,modT-2 trend,0.5
211,1.283439111,modT-2 trend,0.5
212,1.282716,modT-2 trend,0.5
213,1.283597444,modT-2 trend,0.5
214,1.284061667,modT-2 trend,0.5
215,1.284061667,modT-2 trend,0.5
216,1.284336556,modT-2 trend,0.5
217,1.284863556,modT-2 trend,0.5
218,1.286950778,modT-2 trend,0.5
219,1.286718444,modT-2 trend,0.5
220,1.286403778,modT-2 trend,0.5
221,1.286403778,modT-2 trend,0.5
222,1.286478556,modT-2 trend,0.5
223,1.285609667,modT-2 trend,0.5
224,1.284572778,modT-2 trend,0.5
225,1.284572778,modT-2 trend,0.5
226,1.284572778,modT-2 trend,0.5
